,ID,Gas,Sector,Unit,2022,2021,2020,2019,2018,2017,2016,2015,Data source,Country,Created
41,AFG,co2,other-manufacturing,tonnes,3655278.708871988,0.0,3324089.954875,3304603.621332,3420821.5056900005,3014805.009487,2552815.965088,2547999.4431399996,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
42,AFG,co2,other-onsite-fuel-usage,tonnes,61676.093270000005,61676.093270000005,59343.65204,58169.49494,71459.71760999999,105422.9863,127768.4885,183668.9455,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
43,AFG,co2,other-transport,tonnes,137779.471,137779.471,132568.2262,129946.08969999998,159642.516,126671.1585,124741.11,144754.56600000002,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
44,AFG,co2,residential-and-commercial-onsite-fuel-usage,tonnes,181235.5984,181235.5984,174999.60880000002,171515.4846,210721.8796,182385.60820000002,177549.9994,216466.4699,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
45,AFG,co2,road-transportation,tonnes,1513955.821,1513955.821,1456880.422,1428057.154,1754553.5010000002,1200029.3979999998,1353240.9419999998,2044057.541,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
46,AFG,co2,solid-fuel-transformation,tonnes,45010.48053,-131791.51947,-150079.73111,-132163.2352,-132751.49724,-93526.67145999998,-76471.03310999999,-93864.34626,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
47,AFG,hfc-125,fluorinated-gases,tonnes,41.300188,41.300188,38.349166,35.609003,32.883003,29.934094,27.388514999999998,24.705002,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
48,AFG,hfc-134a,fluorinated-gases,tonnes,282.70627199999996,282.70627199999996,256.791968,233.25310199999998,209.57941599999998,183.26973099999998,162.63650299999998,138.558359,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
49,AFG,hfc-143a,fluorinated-gases,tonnes,41.13257,41.13257,36.792145,32.909734,29.236933,24.8383,21.262501,18.218529,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
50,AFG,hfc-152a,fluorinated-gases,tonnes,73.24487500000001,73.24487500000001,70.100127,67.090398,64.86279,62.032526,58.061211,58.179966,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
51,AFG,hfc-227ea,fluorinated-gases,tonnes,6.628126,6.628126,6.390677,6.161734,5.930186,5.65597,5.474907,5.235541,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
52,AFG,n2o,manure-management-other,tonnes,403.3,403.3,403.3,351.3,402.8,401.4,393.2,394.6,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
53,AFG,n2o,other-agricultural-soil-emissions,tonnes,13575.699999999999,13575.699999999999,13575.699999999999,12606.300000000001,12966.8,13010.9,13217.0,13381.1,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
54,AFG,n2o,other-energy-use,tonnes,33.681478999999854,32.321824,31.679377000000002,30.49514,32.789002999999994,30.408266,26.740945,24.827226,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
55,AFG,n2o,other-fossil-fuel-operations,tonnes,0.264339,0.14375734499999998,0.16374232700000002,0.07163307199999996,0.03895539800000003,0.141889235,1.156692653,0.368309072,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
56,AFG,n2o,other-manufacturing,tonnes,51.70892886666661,0.0,46.24231,44.152607,45.822632,41.065351,31.518509,30.549928,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
57,AFG,n2o,other-onsite-fuel-usage,tonnes,0.394924,0.394924,0.379992,0.37247,0.457548,0.7622720000000001,0.930395,1.341515,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
58,AFG,n2o,other-transport,tonnes,1.121107,1.121107,1.0787030000000002,1.057367,1.2990059999999999,1.028809,1.0133539999999999,1.175208,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
59,AFG,n2o,residential-and-commercial-onsite-fuel-usage,tonnes,26.923188,26.923188,25.905973,25.393525,31.200474999999997,25.365896999999997,26.487315000000002,34.662889,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
60,AFG,n2o,road-transportation,tonnes,71.80832600000001,71.80832600000001,69.23642600000001,67.861673,83.488334,62.488312,73.758269,112.066024,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
61,AFG,n2o,solid-fuel-transformation,tonnes,13.090576,13.090576,13.090576,12.735824,12.438266,12.509288,12.167944,11.801784,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
62,AFG,n2o,wastewater-treatment-and-discharge,tonnes,1076.1830521333322,1054.418356,1037.670131,1014.4512670000001,991.751948,968.764098,955.431503,953.929002,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
63,AGO,ch4,enteric-fermentation-other,tonnes,198558.9,198558.9,198558.9,196374.1,196244.8,194377.7,194037.3,191897.1,climate-trace,Angola,2023-10-06T14:56:32.942934
64,AGO,ch4,incineration-and-open-burning-of-waste,tonnes,794.0212210000001,794.0212210000001,779.108647,762.955492,747.137238,732.9400830000001,718.742929,704.5457739999999,climate-trace,Angola,2023-10-06T14:56:32.942934
65,AGO,ch4,manure-management-other,tonnes,10788.3,10788.3,10788.3,10464.0,10119.7,9821.199999999999,9572.300000000001,9763.7,climate-trace,Angola,2023-10-06T14:56:32.942934
66,AGO,ch4,other-energy-use,tonnes,211.3391980666638,201.156184,182.864969,192.77447899999999,146.97306700000001,148.046265,148.701421,227.285604,climate-trace,Angola,2023-10-06T14:56:32.942934
67,AGO,ch4,other-fossil-fuel-operations,tonnes,731428.463761,222927.47365550004,200859.1138901999,299203.3423777,318182.6886963,349548.32557290007,314674.02585910005,344744.9608602002,climate-trace,Angola,2023-10-06T14:56:32.942934
68,AGO,ch4,other-manufacturing,tonnes,189.3789566666669,0.0,192.719317,191.805625,185.466721,183.39215500000003,213.931396,199.497829,climate-trace,Angola,2023-10-06T14:56:32.942934
69,AGO,ch4,other-onsite-fuel-usage,tonnes,1.919721,1.919721,1.7892050000000002,1.9626880000000002,1.9281890000000002,1.920108,2.23998,2.688009,climate-trace,Angola,2023-10-06T14:56:32.942934
70,AGO,ch4,other-transport,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Angola,2023-10-06T14:56:32.942934
71,AGO,ch4,residential-and-commercial-onsite-fuel-usage,tonnes,58044.485458999996,58044.485458999996,58021.606132999994,56810.548532,56045.60767,55333.720961,54616.427417,53901.837011999996,climate-trace,Angola,2023-10-06T14:56:32.942934
