,ID,Gas,Sector,Unit,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,Data source,Country,Created
42,AFG,ch4,food-beverage-tobacco,tonnes,43.053340149463295,43.053340149463295,43.053340149463295,43.0546951761569,42.665043233648305,46.679374083903696,44.6996526122297,51.374645290592,41.9877645103398,61.1388900599383,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
43,AFG,ch4,incineration-and-open-burning-of-waste,tonnes,1122.0681539999998,1122.0681539999998,1122.0681539999998,1098.0522939999998,1074.5504509999998,1057.840879,1041.391146,1013.115773,985.050659,957.041232,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
44,AFG,ch4,lime,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
45,AFG,ch4,manure-management-other,tonnes,3559.2,3559.2,3559.2,3559.2,3580.8,3641.6000000000004,3631.0,3573.8,3567.8,3599.5,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
46,AFG,ch4,other-chemicals,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
47,AFG,ch4,other-energy-use,tonnes,24.414213399999426,30.594284200000402,40.088954,41.635214,42.70072,59.762285,60.60438499999999,68.555634,66.402005,71.61356500000001,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
48,AFG,ch4,other-fossil-fuel-operations,tonnes,1388.6819639999999,-1568.9101074688,95.56382883159989,480.76595790920004,651.231277143,1138.4298269875999,1177.9299512014,1094.963871712,1065.0111693231997,-566.2859302136002,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
49,AFG,ch4,other-manufacturing,tonnes,1182.5573617837156,1182.5573617837156,1182.5573617837156,1188.6469786276245,1078.123806349422,1012.4779484931173,976.4680585841345,853.2403255735992,697.8445968923819,647.423247696599,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
50,AFG,ch4,other-metals,tonnes,1.23527390087558,1.23527390087558,1.23527390087558,1.22583290298807,1.4326466409331902,1.91710945654087,1.83646764523486,1.32092239905713,1.1774049321993898,1.02351032511322,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
51,AFG,ch4,other-mining-quarrying,tonnes,1.82483644447529,1.82483644447529,1.82483644447529,1.81088951577784,1.87612356027203,1.87983375288209,1.8763274472468001,1.7292928653764998,1.65151662569084,1.38075734490605,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
52,AFG,ch4,other-onsite-fuel-usage,tonnes,8.277155,8.277155,8.277155,8.184087,7.851416,9.092155,14.381204,17.436067,19.543749,25.160345,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
