Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
European Union (Convention),"1.A.2.d  Pulp, Paper and Print",29843.8084,32165.3627,30542.45441,29803.74938,32685.32036,33885.31161,33763.06972,34490.85103,32838.45682,31327.59512,31780.7705,30538.41355,30844.34549,31052.62189,30126.76869,30217.19116,29802.08204,28918.08509,27596.31407,25884.13836,26547.71881,25484.8023,24751.50303,24243.41483,22725.15982,22933.90081,23294.62664,23331.17057,23254.83251,23993.32191,21815.69732,23096.23519
European Union (Convention),"1.A.2.e  Food Processing, Beverages and Tobacco",45217.5534,48944.88205,47270.7771,49161.68775,51015.46085,54681.70549,55446.18682,53337.35759,51106.23751,50627.44871,48556.12525,49224.72765,49640.80477,48724.21822,45934.37029,44988.36822,40850.2712,40153.12586,38281.01263,34856.85239,36139.4922,34350.21604,34239.28555,34403.71619,34194.00985,34855.48308,35385.86704,35924.95031,36114.36186,35583.39171,34222.43527,36143.19049
European Union (Convention),2.H.1  Pulp and Paper,0.65696297,0.65696297,0.65696297,0.63641497,0.63421497,0.63421497,0.818958209,0.896426263,0.925559936,0.94136865,0.999588628,1.003299569,1.033487981,8.505040424,15.91047494,13.25151567,17.48600117,11.36521994,27.20053409,23.02841062,29.37336968,22.69938099,24.10638051,21.34944419,26.63024709,22.69217874,21.2426605,20.73142731,25.04437795,23.65132599,20.36317248,20.56081152
European Union (Convention),2.H.2  Food and Beverages Industry,93.64086479,78.88085305,85.57824462,81.52635793,56.82340928,53.1343337,71.21240228,68.93193114,63.80689173,74.83455745,70.4237776,63.66797968,59.65900146,78.5035366,71.71915863,68.07196578,54.50045079,58.83006188,64.87941799,64.17539109,69.10866019,73.49095443,73.27225082,76.83365181,56.31094309,58.51613639,56.94603272,69.81394606,78.2990428,81.48018298,75.68069531,80.94435665
Finland,"1.A.2.d  Pulp, Paper and Print",5329.607793,5152.966196,4976.324599,4942.046909,5147.030398,4772.811765,4550.011132,4456.644865,4112.6129,4013.766316,3856.685757,3732.443353,3484.916413,3614.675072,3721.048736,3390.942901,3867.905868,4076.922433,3624.349311,2994.759217,3436.199299,3136.763635,2804.505463,2791.45174,2704.822971,2680.027294,2642.889611,2480.249822,2550.045029,2458.275353,2185.154299,2206.291116
Finland,"1.A.2.e  Food Processing, Beverages and Tobacco",827.6835837,797.9853058,768.2870278,725.676893,717.9450587,698.6300277,657.9473209,608.9297285,567.5056973,494.0799806,325.2766686,318.8795691,316.8356336,262.0205507,242.9767203,206.1128446,198.4013959,180.8484936,151.3571701,237.9805282,235.4225882,245.5181687,212.7636832,226.4676981,228.9045471,153.5184305,167.6595287,151.2944344,128.0895578,145.9555344,125.035714,101.9172682
Finland,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Finland,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
France,"1.A.2.d  Pulp, Paper and Print",4449.058339,5587.354441,4990.59759,4758.531207,5067.841188,5146.425831,5447.669789,5399.0994,5418.052836,5240.522202,5197.420969,5005.021207,4506.67863,4587.046311,4211.391882,3985.289128,3916.695691,3569.812959,3157.560585,2692.983433,2865.678216,2388.092831,2425.231747,2801.531444,2648.009757,2572.699821,2652.129543,2440.779001,2470.805284,2343.014088,2254.274153,2441.003157
France,"1.A.2.e  Food Processing, Beverages and Tobacco",8524.067435,10446.04425,9540.717256,9954.233405,9932.925736,10681.1032,10570.88978,10352.44095,10327.08343,10771.81596,9906.098759,10268.6805,10233.87472,9890.713515,9353.574875,10036.22757,10178.84618,10233.98621,9427.984697,8568.390793,9658.828343,8994.736151,8494.424556,8716.770246,8506.009008,8429.184369,8571.353467,7994.297762,8169.071434,8151.168041,7620.687046,8232.177438
