sub-sector,inventory,sub_inventory,subinv_units,values,Gas,LS review,Legend
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-245fa,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-32,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-365mfc,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-41,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-43-10-mee,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c2f6,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c3f8,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c4f10,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,hcfc-141b,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,hcfc-142b,,
fluorinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,sf6,,
